index,Position,Track Name,Artist,Streams,URL,Date,Track Id,acousticness,danceability,duration_ms,energy,instrumentalness,key,liveness,loudness,mode,speechiness,tempo,time_signature,valence
1175,26,Runaway,Sebastian Yatra,220554,https://open.spotify.com/track/7BuSE9uTIw931wtZYzvZcQ,2019-08-24,7BuSE9uTIw931wtZYzvZcQ,0.0336,0.756,200693,0.851,0.0,2,0.126,-3.33,1,0.0674,75.014,4,0.934
1176,27,Desconocidos,Mau y Ricky,212096,https://open.spotify.com/track/56f5qnyAlZdlz8wrUDA50h,2019-08-24,56f5qnyAlZdlz8wrUDA50h,0.118,0.719,204564,0.753,4.21e-06,7,0.212,-4.891,1,0.179,174.107,4,0.675
1177,28,Con Calma,Daddy Yankee,211981,https://open.spotify.com/track/5w9c2J52mkdntKOmRLeM2m,2019-08-24,5w9c2J52mkdntKOmRLeM2m,0.11,0.737,193227,0.86,1.94e-06,8,0.0574,-2.652,0,0.0593,93.989,4,0.656
1178,29,Fuentes de Ortiz,Ed Maverick,209184,https://open.spotify.com/track/0akyEssGRVHstqCSWXusJL,2019-08-24,0akyEssGRVHstqCSWXusJL,0.946,0.83,207400,0.159,2.02e-05,1,0.362,-14.461,1,0.0383,104.95,4,0.189
1179,30,Aleluya,Reik,207927,https://open.spotify.com/track/23CsjGOYDQiJpX44BSn9TM,2019-08-24,23CsjGOYDQiJpX44BSn9TM,0.0478,0.81,158480,0.716,0.0,8,0.0678,-2.3,1,0.0694,96.029,4,0.689
1180,31,Old Town Road - Remix,Lil Nas X,203447,https://open.spotify.com/track/2YpeDb67231RjR0MgVLzsG,2019-08-24,2YpeDb67231RjR0MgVLzsG,0.0533,0.878,157067,0.619,0.0,6,0.113,-5.56,1,0.102,136.041,4,0.639
1181,32,Calma - Remix,Pedro Capó,195584,https://open.spotify.com/track/5iwz1NiezX7WWjnCgY5TH4,2019-08-24,5iwz1NiezX7WWjnCgY5TH4,0.323,0.826,238200,0.773,0.0,11,0.143,-4.218,0,0.0524,126.899,4,0.761
1182,33,Rebota - Remix,Guaynaa,189376,https://open.spotify.com/track/3dWpRjCmaHbroNahuSeX11,2019-08-24,3dWpRjCmaHbroNahuSeX11,0.205,0.885,262000,0.857,0.0,0,0.671,-2.279,0,0.204,90.025,4,0.818
1183,34,Contando Lunares (feat. Cruz Cafuné),Don Patricio,188135,https://open.spotify.com/track/6uW0PIRcyZLvkoonm763xD,2019-08-24,6uW0PIRcyZLvkoonm763xD,0.444,0.856,219667,0.523,0.0,4,0.0537,-10.481,0,0.131,105.935,4,0.709
1184,35,La Boca,Mau y Ricky,187782,https://open.spotify.com/track/0UQwlF2pRkr1lMN6kNNUj3,2019-08-24,0UQwlF2pRkr1lMN6kNNUj3,0.0655,0.618,206279,0.795,0.0,2,0.309,-1.8,1,0.113,185.901,4,0.76
1185,36,Pa Mí - Remix,Dalex,186687,https://open.spotify.com/track/7g8YaUQABMal0zWe7a2ijz,2019-08-24,7g8YaUQABMal0zWe7a2ijz,0.753,0.688,360960,0.62,5.27e-06,11,0.158,-8.029,0,0.22,170.018,4,0.727
1186,37,bad guy,Billie Eilish,181285,https://open.spotify.com/track/2Fxmhks0bxGSBdJ92vM42m,2019-08-24,2Fxmhks0bxGSBdJ92vM42m,0.328,0.701,194088,0.425,0.13,7,0.1,-10.965,1,0.375,135.128,4,0.562
1187,38,No Lo Trates,Pitbull,178439,https://open.spotify.com/track/4gqMVEJSaL5nNeKj5WmVoT,2019-08-24,4gqMVEJSaL5nNeKj5WmVoT,0.0569,0.834,198453,0.808,0.00052,11,0.222,-2.597,1,0.0542,104.026,4,0.829
1188,39,Adicto (with Anuel AA & Ozuna),Tainy,177431,https://open.spotify.com/track/3jbT1Y5MoPwEIpZndDDwVq,2019-08-24,3jbT1Y5MoPwEIpZndDDwVq,0.0222,0.74,270741,0.827,1.54e-05,10,0.211,-4.856,0,0.0738,79.999,4,0.591
1189,40,Lost on You,LP,177003,https://open.spotify.com/track/3SqvR3HYLlCTYzbDXJ52OC,2019-08-24,3SqvR3HYLlCTYzbDXJ52OC,0.1,0.433,268105,0.724,0.0,5,0.0918,-6.126,0,0.0372,174.006,4,0.689
1190,41,Te Robaré,Nicky Jam,175921,https://open.spotify.com/track/6v0lAdFF4haL8xjBIUjtOw,2019-08-24,6v0lAdFF4haL8xjBIUjtOw,0.241,0.673,201818,0.752,4.51e-05,2,0.0813,-3.572,0,0.0561,175.997,4,0.797
1191,42,Atrévete,Nicky Jam,174601,https://open.spotify.com/track/3KekO5WUfJsh7kYU9o2w50,2019-08-24,3KekO5WUfJsh7kYU9o2w50,0.311,0.552,198320,0.675,0.0,11,0.119,-3.824,1,0.297,183.785,4,0.586
1192,43,How Do You Sleep?,Sam Smith,167689,https://open.spotify.com/track/6b2RcmUt1g9N9mQ3CbjX2Y,2019-08-24,6b2RcmUt1g9N9mQ3CbjX2Y,0.153,0.477,202205,0.682,0.0,1,0.0763,-4.931,0,0.0925,110.567,5,0.345
1193,44,"Nicki Nicole: Bzrp Music Sessions, Vol. 13",Bizarrap,165329,https://open.spotify.com/track/2S93hylQBYLndMnaJuso8S,2019-08-24,2S93hylQBYLndMnaJuso8S,0.00554,0.81,143292,0.471,0.000197,8,0.134,-5.047,1,0.0496,75.003,4,0.391
1194,45,Dancin (feat. Luvli) - Krono Remix,Aaron Smith,162817,https://open.spotify.com/track/6WkJ2OK163XXS2oARUC9JM,2019-08-24,6WkJ2OK163XXS2oARUC9JM,0.101,0.72,198053,0.741,1.41e-05,10,0.289,-6.529,0,0.0287,119.896,4,0.357
1195,46,Adan y Eva,Paulo Londra,162339,https://open.spotify.com/track/132ALUzVLmqYB4UsBj5qD6,2019-08-24,132ALUzVLmqYB4UsBj5qD6,0.323,0.767,256972,0.709,0.0,1,0.0745,-4.47,1,0.336,171.993,4,0.72
1196,47,Me La Avente,Carin Leon,161103,https://open.spotify.com/track/2QwMXe5zbqymDZGYsMDVqZ,2019-08-24,2QwMXe5zbqymDZGYsMDVqZ,0.557,0.723,155803,0.48,0.0,11,0.0705,-4.1,0,0.0326,144.533,3,0.909
1197,48,Secreto,Anuel AA,160886,https://open.spotify.com/track/5W83ErFkO3aKAIS1WMi6u0,2019-08-24,5W83ErFkO3aKAIS1WMi6u0,0.602,0.807,258800,0.803,0.00853,11,0.136,-4.156,1,0.126,91.987,4,0.706
1198,49,Si Se Da - Remix,Myke Towers,157860,https://open.spotify.com/track/6K5BsR04ijf3FHNzjbaagD,2019-08-24,6K5BsR04ijf3FHNzjbaagD,0.441,0.817,332240,0.672,0.0,11,0.13,-5.612,0,0.299,93.999,4,0.774
